Item,Ticket,Zone_CO,Facility_Name,Start_Date,Time1,End_Date,Time2,Open_Closed,Outage_Type_and_Cause
   1,440029,AEP      ,CAP  DUMONT2  765 KV  DUMONT2  RXBG     REACTOR ,15-APR-2011,2110,31-DEC-2015,1600,O, Active   12/16/2014 10:06 
   1,440029,AEP      ,CAP  DUMONT2  765 KV  DUMONT2  RXBH     REACTOR ,15-APR-2011,2110,31-DEC-2015,1600,O,Continuous                
   1,440029,AEP      ,CAP  DUMONT2  765 KV  DUMONT2  RXBI     REACTOR ,15-APR-2011,2110,31-DEC-2015,1600,O,Add SF-6 Gas              
   2,495746,FE       ,BRKR EVERGFE  138 KV  EVERGFE  WCI_B20      CB  ,24-OCT-2012,0800,20-DEC-2015,1600,O, Active   12/29/2014 09:42 
   2,495746,FE       ,BRKR EVERGFE  138 KV  EVERGFE  WCI_B21      CB  ,24-OCT-2012,0800,20-DEC-2015,1600,O,Continuous                
   2,495746,FE       ,BRKR WCIHOTST 138 KV  WCIHOTST A12          DIS ,24-OCT-2012,0800,20-DEC-2015,1600,C,Other                     
   3,500839,FE       ,BRKR 02GARFLD 138 KV  02GARFLD SWR232       CB  ,12-DEC-2012,0800,27-JAN-2017,1600,O, Active   01/29/2015 19:06 
   3,500839,FE       ,BRKR 02GARFLD 138 KV  02GARFLD SWR132       CB  ,12-DEC-2012,0800,27-JAN-2017,1600,C,Continuous                
   3,500839,         ,                                                ,           ,    ,           ,    , ,Other                     
   4,507213,AEP      ,SD   KANAWHAR 345 KV  KANAWHAR SC2-CAP  SER DEV ,14-FEB-2013,0606,31-DEC-2015,1600,O, Active   12/31/2014 09:29 
   4,507213,AEP      ,BRKR KANAWHAR 345 KV  KANAWHAR SC2          CB  ,14-FEB-2013,0606,31-DEC-2015,1600,C,Continuous                
   4,507213,         ,                                                ,           ,    ,           ,    , ,Other                     
   5,509272,AEP      ,BRKR TURNER   138 KV  TURNER   D            CB  ,06-MAR-2013,1100,31-AUG-2015,1600,O, Active   12/31/2014 09:29 
   5,509272,         ,                                                ,           ,    ,           ,    , ,Continuous                
   5,509272,         ,                                                ,           ,    ,           ,    , ,Other                     
   6,434480,PEP      ,BRKR RITCHIE  230 KV  RITCHIE  6TPB          CB ,17-JUN-2013,0400,11-APR-2015,1600,O, Active   03/09/2015 17:53 
   6,434480,PEP      ,PS   BUZZARD  138 KV  BUZZARD  14T-PS    PHS    ,17-JUN-2013,0400,11-APR-2015,1600,O,Continuous                
   6,434480,PEP      ,CAP  BUZZARD  230 KV  BUZZARD B-051 REAC        ,17-JUN-2013,0400,11-APR-2015,1600,O,Repair/Replace Conductor  
   6,434480,PEP      ,BRKR BUZZARD  138 KV  BUZZARD 14TSBCB CB        ,17-JUN-2013,0400,11-APR-2015,1600,O,Cut-in                    
   6,434480,PEP      ,BRKR BUZZARD  230 KV  BUZZARD 051SRVL CB        ,17-JUN-2013,0400,11-APR-2015,1600,O,                           
   6,434480,PEP      ,LINE BUZZARD  230 KV  BUZZARD-RITCHIE 23051     ,17-JUN-2013,0400,11-APR-2015,1600,O,                           
   7,520157,JC-S     ,XFMR SMITHBUR 500 KV  SMITHBUR BK 1 50  XFORMER ,24-JUN-2013,1000,31-JUL-2016,1600,O, Active   09/25/2013 10:45 
   7,520157,JC-S     ,BRKR SMITHBUR 230 KV  SMITHBUR 1B   CB          ,24-JUN-2013,1000,31-JUL-2016,1600,O,Continuous                
   7,520157,JC-S     ,BRKR SMITHBUR 230 KV  SMITHBUR 1H   CB          ,24-JUN-2013,1000,31-JUL-2016,1600,O,Emergency                 
   7,520157,JC-S     ,BRKR SMITHBUR 500 KV  SMITHBUR T1   CB          ,24-JUN-2013,1000,31-JUL-2016,1600,O,                           
   7,520157,JC-S     ,BRKR SMITHBUR 500 KV  SMITHBUR T5020   DIS      ,24-JUN-2013,1000,31-JUL-2016,1600,O,                           
