Date,Market-Shares-Squared
10/23/2013,4584.6440999999995
10/24/2013,4602.265600000001
10/25/2013,4587.352900000001
10/28/2013,4604.9796
10/29/2013,4609.0521
10/30/2013,4600.908899999999
10/31/2013,4611.768099999999
11/1/2013,4614.484900000001
11/4/2013,4619.9209
11/5/2013,4591.417600000001
11/6/2013,4585.9983999999995
11/7/2013,4609.0521
11/8/2013,4617.2025
11/11/2013,4645.785599999999
11/12/2013,4656.6975999999995
11/13/2013,4622.6401
11/14/2013,4626.720399999999
11/15/2013,4659.427600000001
11/18/2013,4662.1584
11/19/2013,4634.886399999999
11/20/2013,4651.240000000001
11/21/2013,4643.0596000000005
11/22/2013,4640.334400000001
11/25/2013,4633.524899999999
11/26/2013,4615.843599999999
11/27/2013,4622.6401
11/28/2013,4596.839999999999
11/29/2013,4629.441600000001
12/2/2013,4648.5124000000005
12/3/2013,4649.8760999999995
12/4/2013,4643.0596000000005
12/5/2013,4667.622399999999
12/6/2013,4651.240000000001
12/9/2013,4653.9684
12/10/2013,4637.61
12/11/2013,4611.768099999999
12/12/2013,4599.552399999999
12/13/2013,4628.0809
12/16/2013,4634.886399999999
12/17/2013,4624.0
12/18/2013,4610.410000000001
12/19/2013,4633.524899999999
12/20/2013,4662.1584
12/23/2013,4681.2964
12/24/2013,4707.3321
12/25/2013,4719.6900000000005
12/26/2013,4707.3321
12/27/2013,4689.5104
12/30/2013,4715.5689
12/31/2013,4745.8321
1/1/2014,4754.1025
1/2/2014,4781.722500000001
1/3/2014,4781.722500000001
1/6/2014,4751.344900000001
1/7/2014,4756.8609
1/8/2014,4752.723599999999
1/9/2014,4737.5689
1/10/2014,4745.8321
1/13/2014,4712.822500000001
1/14/2014,4685.4025
1/15/2014,4679.928099999999
1/16/2014,4647.1489
1/17/2014,4652.6041
1/20/2014,4638.9721
1/21/2014,4655.3329
1/22/2014,4679.928099999999
1/23/2014,4667.622399999999
1/24/2014,4671.722499999999
1/27/2014,4656.6975999999995
1/28/2014,4663.5241000000005
1/29/2014,4652.6041
1/30/2014,4673.0896
1/31/2014,4653.9684
2/3/2014,4644.422500000001
2/4/2014,4673.0896
2/5/2014,4660.7928999999995
2/6/2014,4663.5241000000005
2/7/2014,4659.427600000001
2/10/2014,4652.6041
2/11/2014,4644.422500000001
2/12/2014,4637.61
2/13/2014,4637.61
2/14/2014,4662.1584
2/17/2014,4645.785599999999
2/18/2014,4670.355600000001
2/19/2014,4675.8243999999995
2/20/2014,4686.771599999999
2/21/2014,4714.195599999999
2/24/2014,4745.8321
2/25/2014,4707.3321
2/26/2014,4708.7044000000005
2/27/2014,4704.588100000001
2/28/2014,4699.1025
3/3/2014,4697.731600000001
3/4/2014,4700.4736
3/5/2014,4693.620100000001
3/6/2014,4722.4384
3/7/2014,4700.4736
3/10/2014,4727.937600000001
3/11/2014,4722.4384
3/12/2014,4722.4384
3/13/2014,4716.942400000001
3/14/2014,4703.216399999999
3/17/2014,4730.6884
3/18/2014,4727.937600000001
3/19/2014,4759.620099999999
3/20/2014,4767.902499999999
3/21/2014,4784.4889
3/24/2014,4780.3396
3/25/2014,4762.3801
3/26/2014,4755.481599999999
3/27/2014,4744.4544
3/28/2014,4740.322499999999
3/31/2014,4763.760399999999
4/1/2014,4767.902499999999
4/2/2014,4766.521600000001
4/3/2014,4737.5689
4/4/2014,4747.210000000001
4/7/2014,4727.937600000001
4/8/2014,4745.8321
4/9/2014,4737.5689
4/10/2014,4708.7044000000005
4/11/2014,4712.822500000001
4/14/2014,4725.187599999999
4/15/2014,4752.723599999999
4/16/2014,4784.4889
4/17/2014,4783.1056
4/18/2014,4808.0356
4/21/2014,4834.4209
4/22/2014,4828.860099999999
4/23/2014,4795.5625
4/24/2014,4778.956899999999
4/25/2014,4774.8099999999995
4/28/2014,4787.2561
4/29/2014,4788.64
4/30/2014,4805.262399999999
5/1/2014,4795.5625
5/2/2014,4766.521600000001
5/5/2014,4795.5625
5/6/2014,4787.2561
5/7/2014,4794.177599999999
5/8/2014,4828.860099999999
5/9/2014,4846.9444
5/12/2014,4824.691599999999
5/13/2014,4805.262399999999
5/14/2014,4835.811600000001
5/15/2014,4855.302400000001
5/16/2014,4865.0625
5/19/2014,4852.5156
5/20/2014,4844.159999999999
5/21/2014,4813.5844
5/22/2014,4846.9444
5/23/2014,4846.9444
5/26/2014,4851.1225
5/27/2014,4866.457600000001
5/28/2014,4898.6001
5/29/2014,4884.6121
5/30/2014,4870.6441
6/2/2014,4865.0625
6/3/2014,4848.336899999999
6/4/2014,4814.9721
6/5/2014,4805.262399999999
6/6/2014,4773.4281
6/9/2014,4762.3801
6/10/2014,4787.2561
6/11/2014,4817.7481
6/12/2014,4801.1041000000005
6/13/2014,4766.521600000001
6/16/2014,4762.3801
6/17/2014,4765.1409
6/18/2014,4761.0
6/19/2014,4761.0
6/20/2014,4761.0
6/23/2014,4733.44
6/24/2014,4748.5881
6/25/2014,4723.812900000001
6/26/2014,4747.210000000001
6/27/2014,4738.945600000001
6/30/2014,4733.44
7/1/2014,4700.4736
7/2/2014,4666.2561000000005
7/3/2014,4636.248100000001
7/4/2014,4668.988899999999
7/7/2014,4689.5104
7/8/2014,4693.620100000001
7/9/2014,4721.064099999999
7/10/2014,4721.064099999999
7/11/2014,4741.6996
7/14/2014,4743.076900000001
7/15/2014,4734.8161
7/16/2014,4745.8321
7/17/2014,4708.7044000000005
7/18/2014,4714.195599999999
7/21/2014,4732.0641000000005
7/22/2014,4745.8321
7/23/2014,4754.1025
7/24/2014,4767.902499999999
7/25/2014,4773.4281
